word,Usage Count in Current Curriculum,Usage Count in Draft Curriculum,Percent of total words in Current Curriculum,Percent of total words in Draft Curriculum,Percent change from Current to Draft Curriculum
care,32,12,0.00038549572340681846,8.902275273188572e-05,-0.7690694154914427
demonstrate,252,96,0.003035778821828695,0.0007121820218550858,-0.7654038506579735
deal,13,5,0.00015660763763402,3.709281363828572e-05,-0.7631481184527618
fabric,13,5,0.00015660763763402,3.709281363828572e-05,-0.7631481184527618
instruction,13,5,0.00015660763763402,3.709281363828572e-05,-0.7631481184527618
rectangular,13,5,0.00015660763763402,3.709281363828572e-05,-0.7631481184527618
relations,18,7,0.00021684134441633538,5.1929939093600006e-05,-0.7605164308800146
among,59,23,0.0007107577400313215,0.0001706269427361143,-0.7599365675165279
select,53,21,0.000638477291892543,0.0001557898172808,-0.7559978729720903
actively,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
alternatives,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
animation,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
associations,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
backgrounds,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
boats,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
defining,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
diameter,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
frequently,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
introduce,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
join,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
pond,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
recreation,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
repertoire,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
satisfaction,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
sites,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
socially,5,2,6.0233706782315383e-05,1.4837125455314288e-05,-0.7536740431908722
